model,train_size,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
DCM-DNN,500,1,0.9276766558239324,0.9899316907745793,0.9181480596078636,0.9137443676324944,0.9272252763996748,0.9272252763996748
PlainDNN,500,1,0.9103052114333172,0.9896361372960093,0.90338779085585,0.9068502583392983,0.9054913471338573,0.9054913471338573
LR,500,1,0.9736313931759983,0.9965858169546918,0.9609641941899341,0.9548839997482143,0.9680230964080901,0.9680230964080901
RF,500,1,0.9152882552425773,0.9884402874540252,0.909917383043831,0.9296837533947687,0.8947703999596032,0.8947703999596032
SVM,500,1,0.9590975153989896,0.9971110132299043,0.9509806918473922,0.9435661141918276,0.959565416292107,0.959565416292107
XGBoost,500,1,0.9206865527026091,0.9880221728805267,0.9118778982263486,0.9250727617914922,0.9009948719732797,0.9009948719732797
DCM-DNN,1000,1,0.9613814104782338,0.9962374197827361,0.9532697005393693,0.9507829191465368,0.9562474689045305,0.9562474689045305
PlainDNN,1000,1,0.961658246245415,0.9958088672141857,0.9544765262785844,0.9545971229230608,0.9543695787977501,0.9543695787977501
LR,1000,1,0.9858813758737629,0.999300027891917,0.979221184389114,0.9769629708247368,0.981601544949286,0.981601544949286
RF,1000,1,0.931759983389854,0.9927001299925942,0.9249200638998025,0.9435475034066639,0.9104368764966922,0.9104368764966922
SVM,1000,1,0.9768150044985812,0.9985438616816659,0.9683453863154191,0.9664818705441219,0.9702664288922752,0.9702664288922752
XGBoost,1000,1,0.9458786075160911,0.9938566372945178,0.9363139069719756,0.9511807026735566,0.924194329440347,0.924194329440347
DCM-DNN,2000,1,0.9678178420651948,0.9968729186539592,0.9578016360286995,0.9513125994271636,0.9656900539585855,0.9656900539585855
PlainDNN,2000,1,0.9552910236002492,0.9962993224966884,0.9417744576243683,0.9291378017697386,0.9612602845188839,0.9612602845188839
LR,2000,1,0.9947401204235587,0.9999466074913187,0.9926124009751245,0.9898686415146986,0.9955121027513328,0.9955121027513328
RF,2000,1,0.9414492352411932,0.994959732849057,0.93510284805885,0.9505318421743247,0.9226724970196204,0.9226724970196204
SVM,2000,1,0.984427988096062,0.9992772916722842,0.9780493191387111,0.9740281316428919,0.9823635422380557,0.9823635422380557
XGBoost,2000,1,0.9568136203197453,0.9959098343881886,0.9491775518582749,0.9577277197812605,0.9416381941721098,0.9416381941721098
DCM-DNN,500,2,0.9273998200567514,0.9878789450716091,0.9114705695331592,0.9139628725771066,0.9094797430445457,0.9094797430445457
PlainDNN,500,2,0.9212402242369714,0.9862293278322062,0.9035065458132681,0.9122997625965636,0.8958954865778374,0.8958954865778374
LR,500,2,0.9721780053982975,0.9964513607153691,0.9577295653123882,0.9604933359574915,0.955088966366309,0.955088966366309
RF,500,2,0.8968094677832376,0.9820176560200614,0.88312999879167,0.9086923266324868,0.86504072746318,0.86504072746318
SVM,500,2,0.9448404733891619,0.9921592340146171,0.9324883936064373,0.9381344996784867,0.9273243811297558,0.9273243811297558
XGBoost,500,2,0.9053913765658523,0.9823322789298546,0.8908692641087708,0.9127617007212429,0.8747335767286876,0.8747335767286876
DCM-DNN,1000,2,0.9406187279396498,0.9925060223741733,0.928096593082813,0.9288831039444937,0.9284407644221199,0.9284407644221199
PlainDNN,1000,2,0.944632846563776,0.9927567680946524,0.9330653678880902,0.9412489779948238,0.926084154523795,0.926084154523795
LR,1000,2,0.9818672572496366,0.998477463220166,0.972327846369525,0.9750830846116271,0.9696920449439793,0.9696920449439793
RF,1000,2,0.916949269845664,0.9899545527625667,0.9058582473199083,0.9312564913627236,0.8876587917015116,0.8876587917015116
SVM,1000,2,0.9644266039172261,0.9963719998932706,0.9547878863443126,0.9616862136157608,0.9485624454580229,0.9485624454580229
XGBoost,1000,2,0.9320368191570351,0.9906729378957871,0.9200298614430834,0.9414948103641118,0.9039038043459384,0.9039038043459384
DCM-DNN,2000,2,0.9590975153989896,0.9956431223607103,0.950903202087166,0.9543237643987218,0.9480383402180257,0.9480383402180257
PlainDNN,2000,2,0.9578517544466745,0.9947779062633607,0.9464608319382278,0.9428048053644639,0.9507488572300135,0.9507488572300135
LR,2000,2,0.9956398366668974,0.9999474899843089,0.9931711065907418,0.9923346252627819,0.9940198221910898,0.9940198221910898
RF,2000,2,0.929545297252405,0.9930351994731513,0.9194381320379312,0.9399351770101423,0.9038658171123019,0.9038658171123019
SVM,2000,2,0.976261332964219,0.9983860657060942,0.9686398841054683,0.9698088187000146,0.9675028444490475,0.9675028444490475
XGBoost,2000,2,0.9494774724894456,0.9943934265958397,0.9386105892571931,0.9520743814819984,0.9274655999682552,0.9274655999682552
DCM-DNN,500,3,0.9247006713267354,0.9869380008629332,0.909776501297447,0.9194165688707373,0.901755737010718,0.901755737010718
PlainDNN,500,3,0.9326596996331926,0.9875411228234173,0.9171474065470772,0.9238586357148759,0.9112225571792362,0.9112225571792362
LR,500,3,0.9775763028583293,0.9973727841299169,0.9683144343581219,0.970978065699219,0.9657603385607162,0.9657603385607162
RF,500,3,0.9219323136549242,0.9895134470522088,0.9083140464008833,0.9335696115839881,0.8901891605760208,0.8901891605760208
SVM,500,3,0.9587514706900131,0.995473215936889,0.9495117064942358,0.9513204787456763,0.9482237770974438,0.9482237770974438
XGBoost,500,3,0.9315523565644681,0.9902173618120867,0.9185725860902946,0.9358403507927512,0.905044743288685,0.905044743288685
DCM-DNN,1000,3,0.9383348328604055,0.9944722232352281,0.930852957370586,0.9303504637619159,0.9338754605089795,0.9338754605089795
PlainDNN,1000,3,0.9353588483632085,0.9922746408476192,0.9260269353737751,0.9277958533651396,0.9260553236172954,0.9260553236172954
LR,1000,3,0.987888435185826,0.9991613582761371,0.9842527837616268,0.9826831334931194,0.9858774922030392,0.9858774922030392
RF,1000,3,0.9258772233372552,0.9914790238788003,0.919992374853218,0.9360239361664142,0.9070870091913101,0.9070870091913101
SVM,1000,3,0.9633192608485016,0.9964877954686223,0.9555930938048887,0.9521007849195353,0.9593000538516462,0.9593000538516462
XGBoost,1000,3,0.9432486677278704,0.9933045738306383,0.93472867514148,0.9460678779689813,0.9250894213621109,0.9250894213621109
DCM-DNN,2000,3,0.9626963803723441,0.9955754858582756,0.9513861295252871,0.9477747282365887,0.955518940824089,0.955518940824089
PlainDNN,2000,3,0.9613122015364385,0.9954605421263619,0.9511445990594707,0.9535538370662855,0.9488479578420842,0.9488479578420842
LR,2000,3,0.994809329365354,0.9998323113876614,0.9921162781465936,0.9900670715073835,0.9942446924429444,0.9942446924429444
RF,2000,3,0.9309294760883106,0.9932836465536207,0.9248953217745609,0.9403672847753285,0.9124007580700689,0.9124007580700689
SVM,2000,3,0.9734237663506125,0.9984519378964006,0.9662524050477007,0.9642801217719913,0.9683027958299336,0.9683027958299336
XGBoost,2000,3,0.9549449788912727,0.9955118104079511,0.9475459545392387,0.956380229534113,0.9397617898933667,0.9397617898933667
DCM-DNN,500,4,0.9448366555924695,0.9941335909472052,0.9376322378866823,0.9343508512375399,0.9418841080969761,0.9418841080969761
PlainDNN,500,4,0.9345238095238095,0.9936936364985597,0.9299958074457116,0.9243227829564148,0.9397169893167739,0.9397169893167739
LR,500,4,0.9828349944629015,0.9988340341740282,0.9769234068677116,0.9738323833864592,0.9803116731134606,0.9803116731134606
RF,500,4,0.9125138427464009,0.988538225675983,0.9079977657044225,0.9248644716567734,0.8948749378478701,0.8948749378478701
SVM,500,4,0.9692691029900332,0.9974516509203433,0.9627891927079725,0.9620705038684133,0.9637109047827729,0.9637109047827729
XGBoost,500,4,0.9248338870431894,0.9897102287940944,0.9146378833460429,0.9271559705452498,0.9044535255169427,0.9044535255169427
DCM-DNN,1000,4,0.9509966777408638,0.9960799986966377,0.9453598074380108,0.9478342766089898,0.9440152589041451,0.9440152589041451
PlainDNN,1000,4,0.9609634551495017,0.9962540683061868,0.9543252961462332,0.9490468637046655,0.9609300708002677,0.9609300708002677
LR,1000,4,0.9933554817275747,0.9999104053639335,0.9914865797457552,0.990580866761309,0.9924274886948096,0.9924274886948096
RF,1000,4,0.9283637873754153,0.9929398183687884,0.922773853300813,0.9403911962047596,0.9089618730908947,0.9089618730908947
SVM,1000,4,0.9642165005537099,0.9974821385428939,0.9583354496558117,0.9588713389040019,0.9579230765151289,0.9579230765151289
XGBoost,1000,4,0.9371539313399778,0.9930006927459916,0.9303223271141987,0.9437214678969125,0.9192725520139301,0.9192725520139301
DCM-DNN,2000,4,0.9584025470653378,0.997145798340986,0.953010357838293,0.9499647363931851,0.9572608201913728,0.9572608201913728
PlainDNN,2000,4,0.9569490586932448,0.9960200908046805,0.9478475426273617,0.9462295949539684,0.9499179103885819,0.9499179103885819
LR,2000,4,0.998062015503876,0.9999881262877087,0.9969690720417735,0.9955870764381403,0.9983843978997173,0.9983843978997173
RF,2000,4,0.9356312292358804,0.9939203420770474,0.9344902919690146,0.9462592054722535,0.9247687471656499,0.9247687471656499
SVM,2000,4,0.9778516057585825,0.9987598829999625,0.9729052072792125,0.9709733535003213,0.9749038635300086,0.9749038635300086
XGBoost,2000,4,0.9455980066445183,0.9953916094126641,0.9418437108819392,0.950338022936975,0.9344280262480945,0.9344280262480945
DCM-DNN,500,5,0.9369462901439646,0.9909052661322185,0.9290985616416134,0.9235911586398752,0.9352046199271514,0.9352046199271514
PlainDNN,500,5,0.9245570321151716,0.9898798812784272,0.9171885382926597,0.9136305732461905,0.9259960567473566,0.9259960567473566
LR,500,5,0.9711378737541528,0.9964521520142213,0.961040891087741,0.9623831657127534,0.9597575033728041,0.9597575033728041
RF,500,5,0.9134136212624585,0.9886224924183348,0.906806780272286,0.926627146876282,0.891529252268656,0.891529252268656
SVM,500,5,0.959579180509413,0.9956927250446482,0.9518833689955102,0.9539956607850728,0.9498469999023588,0.9498469999023588
XGBoost,500,5,0.9113372093023255,0.9848588519371448,0.9019129091938014,0.9151545620178893,0.8910638508135604,0.8910638508135604
DCM-DNN,1000,5,0.9447674418604651,0.9934537093495459,0.9403977578091322,0.9411847149596827,0.9406011234006378,0.9406011234006378
PlainDNN,1000,5,0.9464285714285714,0.9937706047539928,0.9408762755226759,0.9399835067710139,0.9430545606470991,0.9430545606470991
LR,1000,5,0.981796788482835,0.9987707537413452,0.9757290327907547,0.9734868722733815,0.9781936569895596,0.9781936569895596
RF,1000,5,0.9289867109634552,0.991380240946783,0.9247813137034981,0.9420576320867893,0.9109792709631218,0.9109792709631218
SVM,1000,5,0.9615171650055371,0.9972374366464809,0.9563533446492585,0.9544580674639263,0.958307052784391,0.958307052784391
XGBoost,1000,5,0.9419296788482835,0.9929009671671046,0.9354292825334163,0.9476798341176654,0.9251255573972693,0.9251255573972693
DCM-DNN,2000,5,0.9591638981173864,0.9955544489297229,0.9522879013466223,0.948148179888856,0.9570602711561692,0.9570602711561692
PlainDNN,2000,5,0.95812569213732,0.9971511184530589,0.9529025089196965,0.9515022547024864,0.9555340402632088,0.9555340402632088
LR,2000,5,0.9948089700996677,0.9996509908782297,0.992581492734432,0.9912630245884322,0.9939381744387452,0.9939381744387452
RF,2000,5,0.9363925802879292,0.9935884315299631,0.9321120298314338,0.9474984749575128,0.9197559926684117,0.9197559926684117
SVM,2000,5,0.9709302325581395,0.9983385139263081,0.9657861822123465,0.9639618246319327,0.9676834864972853,0.9676834864972853
XGBoost,2000,5,0.9538344407530454,0.9955327579242003,0.9469501038300877,0.957786359021159,0.9376549015472281,0.9376549015472281
